eventDetLatSum: $111147$, patternDetLatSum: $3$, totalLatencySum: $111150$, matchedPatternsSum: $317$
eventDetLatSum: $111658$, patternDetLatSum: $2$, totalLatencySum: $111660$, matchedPatternsSum: $317$
eventDetLatSum: $124057$, patternDetLatSum: $3$, totalLatencySum: $124060$, matchedPatternsSum: $318$
eventDetLatSum: $123676$, patternDetLatSum: $24$, totalLatencySum: $123700$, matchedPatternsSum: $318$
eventDetLatSum: $112311$, patternDetLatSum: $4$, totalLatencySum: $112315$, matchedPatternsSum: $278$
eventDetLatSum: $109119$, patternDetLatSum: $3$, totalLatencySum: $109122$, matchedPatternsSum: $278$
eventDetLatSum: $120428$, patternDetLatSum: $2$, totalLatencySum: $120430$, matchedPatternsSum: $352$
eventDetLatSum: $119622$, patternDetLatSum: $1$, totalLatencySum: $119623$, matchedPatternsSum: $352$
eventDetLatSum: $106805$, patternDetLatSum: $2$, totalLatencySum: $106807$, matchedPatternsSum: $217$
eventDetLatSum: $104402$, patternDetLatSum: $1$, totalLatencySum: $104403$, matchedPatternsSum: $217$
eventDetLatSum: $136143$, patternDetLatSum: $4$, totalLatencySum: $136147$, matchedPatternsSum: $358$
eventDetLatSum: $140263$, patternDetLatSum: $4$, totalLatencySum: $140267$, matchedPatternsSum: $358$
